city,timestamp,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,us_aqi,european_aqi,temperature,humidity,wind_speed,pressure,precipitation,cloudcover
Karachi,2025-01-01 00:00:00+00:00,28.3,26.9,510.0,7.7,79.0,12.2,99.92907,68.37333,16.0,46.5456,10.094454,1016.7,0.0,95.0
Karachi,2025-01-01 01:00:00+00:00,28.9,27.2,730.0,14.1,72.0,13.1,98.48404,67.83,15.45,47.54282,10.464797,1017.5,0.0,46.0
Karachi,2025-01-01 02:00:00+00:00,31.8,30.0,1064.0,22.8,63.0,14.3,97.08334,67.30333,15.25,48.66474,9.67657,1018.0,0.0,39.0
Karachi,2025-01-01 03:00:00+00:00,36.8,34.9,1289.0,27.7,62.0,16.0,95.77128,66.810005,15.3,49.191216,9.5416975,1018.9,0.0,56.0
Karachi,2025-01-01 04:00:00+00:00,40.0,38.4,1304.0,25.4,74.0,18.5,94.583336,66.363335,16.75,44.999763,8.39657,1019.8,0.0,69.0
Karachi,2025-01-01 05:00:00+00:00,42.3,40.3,1209.0,19.4,94.0,21.4,93.51064,65.96,19.0,39.46983,8.049845,1020.1,0.0,27.0
Karachi,2025-01-01 06:00:00+00:00,43.3,40.9,1087.0,14.1,112.0,23.4,93.05851,65.79,21.55,33.59934,7.0199995,1020.0,0.0,69.0
Karachi,2025-01-01 07:00:00+00:00,41.0,38.0,926.0,10.9,125.0,23.7,93.73228,66.043335,23.6,28.151384,8.12197,1018.9,0.0,82.0
Karachi,2025-01-01 08:00:00+00:00,39.6,35.2,737.0,8.4,137.0,23.0,94.84043,66.46,25.0,23.203321,8.467655,1017.5,0.0,96.0
Karachi,2025-01-01 09:00:00+00:00,39.5,33.2,631.0,7.5,143.0,22.5,95.84221,66.83667,25.8,20.602837,8.297589,1016.2,0.0,87.0
Karachi,2025-01-01 10:00:00+00:00,39.8,32.7,666.0,7.6,145.0,22.6,96.61348,67.12667,26.2,19.411816,7.458606,1015.3,0.0,0.0
Karachi,2025-01-01 11:00:00+00:00,40.4,32.4,785.0,9.3,141.0,22.8,97.251785,67.36667,26.1,19.317322,6.6818557,1014.8,0.0,29.0
Karachi,2025-01-01 12:00:00+00:00,44.0,35.7,929.0,15.0,133.0,23.5,97.774826,67.56333,25.6,20.331963,7.2359104,1015.0,0.0,100.0
Karachi,2025-01-01 13:00:00+00:00,52.7,47.4,1125.0,29.0,108.0,22.3,97.86348,67.59667,24.75,23.219654,6.5520988,1015.7,0.0,47.0
Karachi,2025-01-01 14:00:00+00:00,57.5,53.8,1347.0,47.7,75.0,20.7,98.12058,67.69334,23.6,25.144848,5.1919937,1016.4,0.0,100.0
Karachi,2025-01-01 15:00:00+00:00,56.7,53.7,1455.0,57.7,53.0,19.2,98.35107,67.78001,22.55,27.080572,4.5891175,1017.3,0.0,99.0
